"goal_id","player_id","primary_secondary"
"1","71","2"
"1","126","1"
"3","125","1"
"4","68","2"
"4","69","1"
"5","11","1"
"6","69","1"
"6","131","2"
"7","89","1"
"8","15","1"
"9","142","1"
"10","103","1"
"10","119","2"
"11","60","1"
"12","143","1"
"13","114","1"
"15","78","1"
"17","79","1"
"18","57","1"
"20","78","1"
"22","36","2"
"22","37","1"
"23","37","1"
"24","35","1"
"24","46","2"
"27","66","2"
"27","67","1"
"28","89","1"
"29","68","1"
"29","73","2"
"31","105","1"
"33","24","1"
"34","23","1"
"35","75","1"
"36","32","1"
"39","109","1"
"40","80","1"
"41","57","1"
"42","36","1"
"42","87","2"
"44","103","1"
"44","105","2"
"45","103","2"
"45","105","1"
"46","90","2"
"46","104","1"
"47","157","1"
"49","31","1"
"49","163","2"
"50","67","1"
"51","101","1"
"53","36","1"
"54","65","1"
"54","71","2"
"55","44","1"
"56","71","1"
"56","72","2"
"57","37","1"
"59","37","1"
"60","2","2"
"60","15","1"
"61","138","1"
"62","8","2"
"62","13","1"
"63","15","1"
"64","34","1"
"65","33","2"
"65","40","1"
"66","33","2"
"66","35","1"
"67","39","1"
"67","87","2"
"68","50","1"
"68","52","2"
"69","27","1"
"69","29","2"
"70","49","2"
"70","50","1"
"71","31","2"
"71","161","1"
"72","30","2"
"72","84","1"
"74","105","1"
"75","16","1"
"75","18","2"
"76","129","1"
"77","15","1"
"77","167","2"
"78","33","1"
"78","86","2"
"79","67","2"
"79","75","1"
"80","69","2"
"80","72","1"
"81","36","1"
"81","46","2"
"82","65","1"
"82","71","2"
"83","23","2"
"83","78","1"
"84","78","1"
"84","97","2"
"85","23","2"
"85","24","1"
"86","40","2"
"86","44","1"
"88","83","1"
"89","24","1"
"91","36","2"
"91","42","1"
"94","156","1"
"94","158","2"
"95","98","1"
"95","161","2"
"96","104","1"
"98","98","1"
"98","161","2"
"99","21","1"
"99","104","2"
"100","49","2"
"100","60","1"
"101","51","1"
"101","138","2"
"102","50","2"
"102","52","1"
"103","73","2"
"103","74","1"
"104","59","1"
"105","56","2"
"105","138","1"
"106","80","1"
"106","98","2"
"107","30","2"
"107","161","1"
"108","109","1"
"109","16","2"
"109","17","1"
"111","16","2"
"111","109","1"
"112","115","1"
"113","78","1"
"114","42","2"
"114","44","1"
"115","34","1"
"115","44","2"
"116","35","2"
"116","44","1"
"117","27","1"
"117","158","2"
"118","98","1"
"118","161","2"
"119","34","2"
"119","44","1"
"120","34","1"
"121","98","1"
"122","53","1"
"122","57","2"
"123","71","2"
"123","72","1"
"124","60","1"
"124","88","2"
"125","21","1"
"125","24","2"
"126","15","1"
"127","23","1"
"128","8","2"
"128","15","1"
"129","65","1"
"129","72","2"
"130","2","2"
"130","15","1"
"131","25","1"
"133","34","1"
"133","40","2"
"134","45","1"
"135","2","2"
"135","15","1"
"137","159","1"
"138","72","1"
"139","26","1"
"139","159","2"
"140","65","2"
"140","72","1"
"141","66","2"
"141","75","1"
"142","83","1"
"143","56","2"
"143","138","1"
"144","76","1"
"145","51","1"
"146","50","1"
"146","52","2"
"147","12","1"
"148","18","1"
"148","167","2"
"149","161","1"
"149","164","2"
"150","142","1"
"151","58","2"
"151","61","1"
"152","97","1"
"152","103","2"
"153","15","2"
"153","109","1"
"154","98","1"
"154","163","2"
"155","74","2"
"155","89","1"
"156","66","2"
"156","71","1"
"157","83","1"
"159","5","2"
"159","16","1"
"160","4","1"
"160","14","2"
"161","97","1"
"161","102","2"
"162","8","1"
"162","13","2"
"163","21","2"
"163","24","1"
"164","56","2"
"164","58","1"
"165","80","1"
"165","84","2"
"166","24","1"
"166","25","2"
"167","12","1"
"167","15","2"
"168","20","1"
"168","23","2"
"169","34","2"
"169","47","1"
"170","22","2"
"170","23","1"
"171","72","2"
"171","75","1"
"172","23","1"
"172","90","2"
"174","73","2"
"174","100","1"
"175","71","1"
"176","51","2"
"176","53","1"
"177","61","1"
"178","53","2"
"178","63","1"
"179","87","1"
"180","33","2"
"180","36","1"
"181","36","2"
"181","42","1"
"182","42","2"
"182","44","1"
"183","31","1"
"183","98","2"
"184","1","1"
"185","31","2"
"185","83","1"
"186","67","2"
"186","73","1"
"187","55","2"
"187","62","1"
"188","64","2"
"188","133","1"
"189","75","1"
"191","12","2"
"191","17","1"
"192","73","1"
"193","9","2"
"193","12","1"
"194","65","1"
"194","73","2"
"196","20","1"
"196","114","2"
"197","11","2"
"197","23","1"
"198","69","1"
"198","89","2"
"199","74","1"
"202","51","1"
"202","57","2"
"203","79","1"
"204","87","1"
"204","148","2"
"206","86","2"
"206","87","1"
"207","84","1"
"207","159","2"
"208","102","1"
"209","30","2"
"209","162","1"
"216","42","1"
"216","87","2"
"217","10","2"
"217","15","1"
"218","62","2"
"218","63","1"
"219","42","1"
"220","7","2"
"220","12","1"
"221","157","1"
"221","161","2"
"223","161","1"
"223","162","2"
"226","71","2"
"226","76","1"
"227","34","2"
"227","86","1"
"228","31","2"
"228","32","1"
"229","49","2"
"229","142","1"
"230","84","1"
"231","81","1"
"231","157","2"
"232","58","2"
"232","88","1"
"233","31","2"
"233","83","1"
"234","62","1"
"234","63","2"
"235","31","1"
"235","32","2"
"236","27","2"
"236","158","1"
"237","16","2"
"237","78","1"
"239","67","2"
"239","73","1"
"240","20","2"
"240","23","1"
"241","71","1"
"241","125","2"
"242","20","1"
"242","129","2"
"243","67","1"
"244","25","1"
"245","71","1"
"245","73","2"
"247","55","1"
"249","34","1"
"250","51","1"
"251","88","1"
"252","67","2"
"252","75","1"
"254","67","2"
"254","125","1"
"255","75","2"
"255","100","1"
"256","125","1"
"257","53","2"
"257","61","1"
"258","31","1"
"259","15","1"
"260","60","1"
"260","88","2"
"261","73","1"
"261","76","2"
"262","31","2"
"262","99","1"
"263","25","1"
"263","104","2"
"264","11","2"
"264","79","1"
"265","20","2"
"265","21","1"
"268","58","2"
"268","63","1"
"269","25","1"
"269","90","2"
"270","58","2"
"270","63","1"
"271","23","2"
"271","25","1"
"272","75","1"
"272","100","2"
"273","80","2"
"273","157","1"
"274","99","2"
"274","158","1"
"275","31","1"
"275","98","2"
"278","34","2"
"278","42","1"
"279","67","1"
"279","76","2"
"280","44","1"
"280","87","2"
"281","32","1"
"282","9","1"
"282","110","2"
"283","44","1"
"283","87","2"
"284","75","2"
"284","100","1"
"285","69","2"
"285","131","1"
"286","74","2"
"286","76","1"
"287","16","1"
"288","33","2"
"288","39","1"
"289","34","2"
"289","35","1"
"290","62","2"
"290","88","1"
"291","15","2"
"291","78","1"
"292","16","1"
"293","60","2"
"293","88","1"
"294","30","2"
"294","83","1"
"295","58","1"
"295","88","2"
"296","32","1"
"296","84","2"
"297","53","2"
"297","61","1"
"298","21","1"
"298","90","2"
"299","11","1"
"299","20","2"
"300","23","2"
"300","79","1"
"302","90","1"
"303","11","1"
"303","24","2"
"304","92","1"
"305","36","1"
"305","44","2"
"306","20","2"
"306","21","1"
"307","21","2"
"307","25","1"
"308","1","2"
"308","12","1"
"310","68","2"
"310","100","1"
"311","26","1"
"311","83","2"
"312","66","1"
"312","76","2"
"313","5","2"
"313","16","1"
"314","58","2"
"314","88","1"
"315","75","2"
"315","89","1"
"316","75","1"
"317","55","2"
"317","60","1"
"318","88","1"
"318","142","2"
"319","89","1"
"320","68","1"
"321","56","2"
"321","58","1"
"322","53","1"
"322","62","2"
"323","88","1"
"324","56","1"
"325","73","1"
"326","58","1"
"326","88","2"
"327","98","2"
"327","156","1"
"328","156","1"
"329","79","1"
"329","116","2"
"330","11","1"
"330","20","2"
"332","33","2"
"332","47","1"
"333","34","2"
"333","35","1"
"334","2","2"
"334","13","1"
"335","33","2"
"335","37","1"
"336","12","2"
"336","49","1"
"337","31","1"
"337","83","2"
"338","32","2"
"338","83","1"
"339","11","2"
"339","115","1"
"340","11","1"
"340","20","2"
"341","11","2"
"341","21","1"
"342","15","1"
"342","78","2"
"343","10","1"
"344","71","2"
"344","73","1"
"345","31","2"
"345","83","1"
"346","32","1"
"346","83","2"
"347","100","1"
"348","26","1"
"348","98","2"
"349","73","2"
"349","74","1"
"350","31","2"
"350","32","1"
"351","67","1"
"351","73","2"
"352","12","2"
"352","49","1"
"353","34","2"
"353","149","1"
"354","14","1"
"356","53","1"
"357","161","1"
"358","63","1"
"358","161","2"
"359","1","1"
"360","63","2"
"360","142","1"
"361","98","1"
"363","31","1"
"363","83","2"
"364","26","2"
"364","51","1"
"365","30","2"
